index:0 	label:0.0 	priority:-277.76718307285756
index:1 	label:0.0 	priority:-142.6298535086802
index:2 	label:0.0 	priority:-341.1741755400655
index:3 	label:0.0 	priority:-758.8701595440249
index:4 	label:0.0 	priority:-1408.0679718814376
index:5 	label:0.0 	priority:-600.2989004841864
index:6 	label:0.0 	priority:-1141.0241235289154
index:7 	label:0.0 	priority:-207.83106297365023
index:8 	label:0.0 	priority:-499.0813308269621
index:9 	label:0.0 	priority:-654.9546280571998
index:10 	label:0.0 	priority:-51.95776574341256
index:11 	label:0.0 	priority:-1196.1131036610943
index:12 	label:0.0 	priority:-836.8068081591438
index:13 	label:0.0 	priority:-1184.8405503237657
index:14 	label:0.0 	priority:-1000.7041048210168
index:15 	label:0.0 	priority:-181.85218010194396
index:16 	label:0.0 	priority:-1544.5331094486696
index:17 	label:0.0 	priority:-1091.1130806116637
index:18 	label:0.0 	priority:-923.7286102372692
index:19 	label:0.0 	priority:-593.1635579658811
index:20 	label:0.0 	priority:-883.2820332382528
index:21 	label:0.0 	priority:-1460.3000126803338
index:22 	label:0.0 	priority:-707.7218965821655
index:23 	label:0.0 	priority:-1558.7329723023768
index:24 	label:0.0 	priority:-51.95776574341256
index:25 	label:0.0 	priority:-1221.007494970195
index:26 	label:0.0 	priority:-181.85218010194396
index:27 	label:0.0 	priority:-1341.5883943958427
index:28 	label:0.0 	priority:-338.2778307651096
index:29 	label:0.0 	priority:-680.9335109289061
index:30 	label:0.0 	priority:-1073.0945922040316
index:31 	label:0.0 	priority:-1387.266449981267
index:32 	label:0.0 	priority:-233.80996144559583
index:33 	label:0.0 	priority:-1246.2266346067368
index:34 	label:0.0 	priority:-1310.7902426860337
index:35 	label:0.0 	priority:-1472.943158602299
index:36 	label:0.0 	priority:-1330.3564837732874
index:37 	label:0.0 	priority:-1246.9863778419015
index:38 	label:0.0 	priority:-1474.201765882392
index:39 	label:0.0 	priority:-1246.9863778419015
index:40 	label:0.0 	priority:-166.25897061131113
index:41 	label:0.0 	priority:-213.31361923819304
index:42 	label:0.0 	priority:-1057.2810326549986
index:43 	label:0.0 	priority:-493.5987745624193
index:44 	label:0.0 	priority:-1551.5344949060534
index:45 	label:0.0 	priority:-1402.0999474372138
index:46 	label:0.0 	priority:-815.7310268037287
index:47 	label:0.0 	priority:-1506.775206558964
index:48 	label:0.0 	priority:-739.73568897789
index:49 	label:0.0 	priority:-1529.0144426468075
index:50 	label:0.0 	priority:-1324.0097704042998
index:51 	label:0.0 	priority:-343.2080335967244
index:52 	label:0.0 	priority:-486.4383495016258
index:53 	label:0.0 	priority:-491.1779005262326
index:54 	label:0.0 	priority:-51.95776574341256
index:55 	label:0.0 	priority:-690.4551918021637
index:56 	label:0.0 	priority:-363.7043602038879
index:57 	label:0.0 	priority:-270.1744864978969
index:58 	label:0.0 	priority:-1166.7431266299639
index:59 	label:0.0 	priority:-1310.6021919356726
index:60 	label:0.0 	priority:-245.58895026317188
index:61 	label:0.0 	priority:-982.8468166417146
index:62 	label:0.0 	priority:-623.4931889209507
index:63 	label:0.0 	priority:-628.9757451854936
index:64 	label:0.0 	priority:-884.1653394916905
index:65 	label:0.0 	priority:-1445.516274597323
index:66 	label:0.0 	priority:-51.95776574341256
index:67 	label:0.0 	priority:-1362.6809137464863
index:68 	label:0.0 	priority:-415.66212594730047
index:69 	label:0.0 	priority:-805.3453690228946
index:70 	label:0.0 	priority:-51.95776574341256
index:71 	label:0.0 	priority:-1180.336774573474
index:72 	label:0.0 	priority:-51.95776574341256
index:73 	label:0.0 	priority:-1246.9863934421408
index:74 	label:0.0 	priority:-1236.875709015572
index:75 	label:0.0 	priority:-1454.8174408155517
index:76 	label:0.0 	priority:-51.95776574341256
index:77 	label:0.0 	priority:-129.8944143585314
index:78 	label:0.0 	priority:-1376.8807922004328
index:79 	label:0.0 	priority:-1143.0708463550764
index:80 	label:0.0 	priority:-1348.559998462363
index:81 	label:0.0 	priority:-453.4156239561931
index:82 	label:0.0 	priority:-1506.775206558964
index:83 	label:0.0 	priority:-1335.1365353818915
index:84 	label:0.0 	priority:-649.472071792657
index:85 	label:0.0 	priority:-1078.3486945004013
index:86 	label:0.0 	priority:-1457.9256580302397
index:87 	label:0.0 	priority:-1348.5708148143922
index:88 	label:0.0 	priority:-1428.8385579438454
index:89 	label:0.0 	priority:-1101.9620909814744
index:90 	label:0.0 	priority:-1132.2085739245324
index:91 	label:0.0 	priority:-1272.9652607136077
index:92 	label:0.0 	priority:-845.1691432704405
index:93 	label:0.0 	priority:-1164.6989811434191
index:94 	label:0.0 	priority:-1324.9621392046201
index:95 	label:0.0 	priority:-904.9101524263564
index:96 	label:0.0 	priority:-630.4156268101501
index:97 	label:0.0 	priority:-541.1566932741929
index:98 	label:0.0 	priority:-1442.2787087628665
index:99 	label:0.0 	priority:-1096.5956369477956
index:100 	label:0.0 	priority:-1088.742487391487
index:101 	label:0.0 	priority:-985.0444592527482
index:102 	label:0.0 	priority:-888.6433493134984
index:103 	label:0.0 	priority:-213.31361923819304
index:104 	label:0.0 	priority:-77.93664861511884
index:105 	label:0.0 	priority:-1356.3353666449937
index:106 	label:0.0 	priority:-625.1615245123812
index:107 	label:0.0 	priority:-1185.7274458802601
index:108 	label:0.0 	priority:-1472.2796654515507
index:109 	label:0.0 	priority:-296.153369369629
index:110 	label:0.0 	priority:-1421.5611186926508
index:111 	label:0.0 	priority:-753.4294480269982
index:112 	label:0.0 	priority:-1029.0446616421611
index:113 	label:0.0 	priority:-128.99737614591243
index:114 	label:0.0 	priority:-108.51763495418024
index:115 	label:0.0 	priority:-1379.4132848963081
index:116 	label:0.0 	priority:-629.0547083553164
index:117 	label:0.0 	priority:-1520.6990455043874
index:118 	label:0.0 	priority:-452.02666659984084
index:119 	label:0.0 	priority:-829.0037923586634
index:120 	label:0.0 	priority:-305.13879135426646
index:121 	label:0.0 	priority:-817.119984160081
index:122 	label:0.0 	priority:-311.75756133976824
index:123 	label:0.0 	priority:-221.2734626912029
index:124 	label:0.0 	priority:-625.3819044660744
